ATSC5i,ATSC6d,AATSC6dv,ATSC5s,ATSC4dv,ATSC7i,AATS3i,ATSC6pe,AATS4i,ATSC5pe,ATSC6Z,AATS5i,ATSC8s,Xpc-5d,ATSC6dv,Xpc-4dv,GGI4,ATSC8dv,VE3_A,SsssCH,ATSC2v,GATS7s,FilterItLogS,Lipinski,IC4,ATSC6i,ATSC4d,C3SP3,ATSC3i,AATS8i,pIC50
-7.837506636575405,-0.8376000000000005,-0.1671384615384615,-40.590277777777786,-61.96639999999999,19.25935958566626,155.1265444651372,0.0981206400000007,159.54190713177178,-2.72431532,8.977599999999997,165.91481832060305,-8.069444444444438,7.233887056845771,-17.382400000000004,1.705030401777991,1.497777777777778,14.004800000000005,2.5570264811355647,-0.6256591710758386,41.40790582356004,0.9497967122864428,-5.740812935551287,1.0,5.4536606896881885,40.83180758703141,-8.743599999999999,1.0,-27.16569763084052,156.61280626679658,4.725842151
-10.795163927955723,-4.982400000000001,-0.2183595959595959,-41.72643333333333,-93.6256,24.714112997973388,155.54016136586898,-0.0809759599999989,160.1109261717844,-2.37076684,-4.817599999999993,165.84047367844357,-19.992288888888886,6.710216007323747,-21.617599999999992,1.734620608676849,1.3866666666666667,-9.305599999999991,2.559230777277988,-0.613209137343337,-19.64424181750637,0.8139676436597164,-6.7352958940359215,0.0,5.4536606896881885,32.72039472983537,-3.7744,1.0,-27.298261676103404,157.94360417333124,4.779107751
-10.735964941547955,-3.4738520408163254,-0.211525593844095,-20.92284049036282,-81.5051020408163,17.63122801407644,154.81797392964793,0.1483346938775535,158.04214098502837,-2.019065306122448,-34.16326530612245,164.52233080869206,-7.827389810090701,7.391829326189263,-25.8061224489796,1.8992816296830024,1.6311111111111112,-3.2908163265306096,2.734513917446506,-0.5253687846044452,179.23525461653526,1.1550797848858507,-7.659009745357216,0.0,5.530394654123195,38.63887203245329,-10.141900510204083,1.0,-23.43285977442352,156.5325712407313,4.920095532
-0.1022060740571775,-3.1534041941970696,-0.2777777777777778,-16.48051326247247,-39.0,21.27103802123263,153.58913624899645,0.2275094513071068,157.70491778503484,-1.2896139040505523,-7.0,162.03790644813657,0.7629273197357082,6.476373926739767,-35.0,1.618857264751861,1.186666666666667,-19.0,2.697192199562542,-0.5711114412349989,-546.5423932520184,1.1531353405334974,-7.998588378029322,0.0,5.4796864813818855,40.9302753766847,-2.9807526572823893,1.0,-30.80472252658332,152.63609100809015,4.631341288
-7.208119693984469,-1.0412326388888888,-0.3925937857961053,-16.08648003472222,-56.47395833333334,18.590323385378483,155.184206818748,-0.364012109374996,159.12709061906793,-1.276861328124999,-50.873263888888886,165.2933719387824,1.8079427083333344,5.716645959556805,-38.08159722222221,1.5283342932037498,1.1155555555555556,15.69097222222222,2.421001830828992,-0.5169937851683888,-85.54665167619194,1.091730579928757,-6.612549497235274,0.0,5.220175521464344,37.62329987826058,-5.930989583333333,1.0,-23.10022115759798,154.84281016519867,4.581864502
-7.746589531136943,-2.058439061899269,-0.2449826989619378,-21.489234909650136,-79.20415224913495,21.25104584230453,156.15729115019374,0.3348259900038443,159.22016158676962,-1.978287389465592,-16.996539792387544,164.08085937623812,3.1332179930795854,5.9527600360403286,-28.17301038062285,1.528797885832062,1.1155555555555556,24.415224913494807,2.4725224088535933,-0.5167103384563707,-132.67949981653425,1.312623836796656,-7.006829293094792,0.0,5.289880734043516,33.0976173664835,-8.839677047289506,1.0,-22.20567860002739,155.0681752698993,4.877456476
-7.990448436537995,-3.219135802469135,-0.1603597471043864,-25.67900281969213,-69.76954732510286,23.778215070228168,155.4506485152353,0.9705418038408808,161.05052743034688,-2.6381822702331865,13.301783264746224,163.03244625824868,3.856214753848504,6.585750532086816,-21.3278463648834,1.8174592555047653,1.2755555555555556,31.401920438957475,2.540625805848528,-0.3769764618539462,41.50274751046931,1.5041657950893474,-7.026604897736151,0.0,5.194430789080313,28.610093670746224,-8.092592592592593,2.0,-35.16307641230615,155.24436980630162,4.765229705
-4.9041921660399925,-7.1668205601723605,-0.5512796836896559,-16.305555555555557,-29.855955678670348,17.862997444499353,157.26314881465763,-0.4984711911357266,160.12056755685654,-1.5062049861495794,-94.8944290550939,164.17439546096418,1.333333333333334,5.8980221819159615,-71.66635887965526,1.5056426437653474,1.1155555555555554,3.6220375500153903,2.5514981067400706,-0.5173408761652816,-237.67381329029377,1.1560145575277745,-7.793314124703717,0.0,5.420437821106374,35.944097709934006,-4.142197599261312,1.0,-20.986818149120506,156.9351364166234,4.528414946
8.717834899576205,-4.535802469135801,-0.6904865649963688,-11.56938271604939,-46.07802469135802,11.942097261043722,158.3940206752554,-0.3784000000000033,161.14369260792907,-0.8777000000000029,-62.82469135802468,167.50533626479643,10.507229080932788,5.064277032494623,-58.69135802469136,1.5825181690754495,1.0494444444444446,42.33432098765432,2.335081729370342,0.0585952606622206,-181.77039750130496,1.1817065201532868,-5.4752488772369,1.0,5.191635874011296,28.821272768242004,-2.878024691358024,2.0,-15.842087096526049,157.2480863585504,4.088522783
-4.80543396783237,-4.358024691358025,-0.3999955750254435,-20.80709876543209,-56.04938271604939,17.402322607156826,156.75035191379737,-0.3526140603566451,159.82001162807174,-2.1297403978052043,-90.52537722908096,163.93598776606942,-5.704475308641975,5.932539978780387,-49.599451303155,1.5056426437653474,1.1155555555555554,1.171467764060354,2.514437985144694,-0.5169229234903843,-183.6246659287534,1.1468554308159948,-7.400404897736151,0.0,5.356558335416672,32.84691641140289,-7.666666666666668,1.0,-21.55781358786707,156.32060719551305,4.414652089
